transaction_id,customer_id,amount,merchant_category,hour,day_of_week,country,device_type,card_age_days,velocity,is_international,is_weekend,is_night,is_new_card,is_fraud
9693,3365,205.2,Food Delivery,17,5,US,desktop,294.3,1,1,1,0,0,1
10878,4775,63.38,Travel,17,6,US,desktop,137.6,1,1,1,0,0,0
10968,2464,162.56,Travel,19,6,US,desktop,38.2,0,1,1,0,0,0
11073,2813,867.79,Entertainment,7,5,US,desktop,344.1,0,1,1,0,0,0
11382,3182,274.71,Travel,20,5,US,desktop,374.3,0,1,1,0,0,1
11594,3077,17.48,Travel,21,6,US,desktop,216.4,1,1,1,0,0,0
12554,1840,186.57,Food Delivery,20,6,US,desktop,97.8,1,1,1,0,0,0
12969,1017,33.36,Online,6,5,US,desktop,204.9,2,1,1,0,0,1
13419,2718,118.24,Travel,8,5,US,desktop,58.4,1,1,1,0,0,1
13672,1649,110.38,Online,8,5,US,desktop,240.3,2,1,1,0,0,1
14106,2476,43.87,Online,6,6,US,desktop,245.5,0,1,1,0,0,0
14306,4997,68.09,Food Delivery,17,5,US,desktop,335.3,1,1,1,0,0,0
14857,2238,132.32,Online,20,6,US,desktop,292.0,2,1,1,0,0,0
14976,1078,115.67,Online,8,6,US,desktop,102.0,0,1,1,0,0,1
15564,2178,106.12,Online,16,5,US,desktop,117.6,2,1,1,0,0,0
15746,2045,145.43,Online,11,5,US,desktop,414.1,1,1,1,0,0,1
16324,3211,46.43,Food Delivery,7,5,US,desktop,118.9,2,1,1,0,0,1
16453,4223,65.1,Entertainment,16,5,US,desktop,113.5,2,1,1,0,0,0
17359,3679,67.0,Travel,20,5,US,desktop,230.1,0,1,1,0,0,0
18005,1149,22.49,Online,9,5,US,desktop,198.1,1,1,1,0,0,0
18019,3625,37.76,Travel,20,6,US,desktop,75.9,2,1,1,0,0,0
18145,3714,26.85,Entertainment,20,5,US,desktop,31.9,2,1,1,0,0,0
18898,1989,46.28,Travel,8,5,US,desktop,258.6,2,1,1,0,0,0
19414,4020,128.22,Food Delivery,22,6,US,desktop,46.5,1,1,1,0,0,0
94,2549,97.62,Online,5,6,US,mobile,50.9,0,0,1,1,0,0
122,3673,91.21,Online,2,5,US,mobile,182.5,1,0,1,1,0,0
132,3214,23.94,Food Delivery,2,4,GB,desktop,49.9,0,0,0,1,0,0
214,2797,34.14,Travel,22,6,AU,desktop,5.5,1,0,1,0,0,0
259,1700,18.33,Travel,10,0,US,mobile,105.8,3,0,0,0,0,1
296,3082,36.68,Online,0,5,US,mobile,44.2,2,0,1,1,0,0
300,1086,104.92,Travel,13,1,US,mobile,195.5,4,0,0,0,0,0
339,1810,23.31,Online,23,6,US,mobile,41.1,0,0,1,1,0,0
368,2263,32.93,Food Delivery,0,6,US,tablet,408.0,2,0,1,1,0,0
403,2281,84.81,Food Delivery,12,2,US,mobile,306.5,3,0,0,0,0,1
478,1071,92.81,Travel,3,1,CA,desktop,39.3,1,0,0,1,0,1
490,3424,200.77,Food Delivery,3,1,DE,desktop,180.1,1,0,0,1,0,0
491,4732,42.54,Travel,3,5,US,mobile,165.6,2,0,1,1,0,1
526,2241,107.25,Online,18,1,US,mobile,782.5,3,0,0,0,0,0
535,3309,49.53,Travel,1,6,US,tablet,40.7,2,0,1,1,0,1
593,1959,40.39,Entertainment,4,6,US,mobile,118.6,1,0,1,1,0,0
602,4115,134.33,Food Delivery,22,0,US,mobile,122.1,4,0,0,0,0,0
641,3683,121.71,Food Delivery,20,4,US,mobile,113.8,3,0,0,0,0,1
667,3013,46.01,Food Delivery,4,2,FR,desktop,94.1,0,0,0,1,0,1
750,1630,27.61,Online,16,1,US,mobile,368.8,3,0,0,0,0,0
791,1382,19.11,Entertainment,23,6,US,mobile,287.0,2,0,1,1,0,1
817,1172,177.2,Online,16,6,GB,desktop,12.7,2,0,1,0,0,0
834,1572,112.35,Travel,21,4,US,mobile,61.7,3,0,0,0,0,0
864,4088,71.37,Travel,19,1,US,mobile,442.7,4,0,0,0,0,0
926,4784,87.57,Entertainment,23,4,AU,desktop,402.1,1,0,0,1,0,1
957,2603,58.26,Online,4,0,GB,desktop,167.9,1,0,0,1,0,1
961,1613,29.09,Entertainment,5,0,CA,desktop,83.1,0,0,0,1,0,0
965,4796,916.2,Entertainment,22,1,US,desktop,469.0,2,0,0,0,0,1
1029,3261,35.58,Food Delivery,13,1,US,mobile,48.3,4,0,0,0,0,0
1047,1957,31.37,Travel,7,5,DE,desktop,28.8,2,0,1,0,0,1
1150,4408,37.05,Travel,3,6,US,mobile,501.1,1,0,1,1,0,0
1154,4638,64.8,Entertainment,8,2,US,mobile,266.0,4,0,0,0,0,1
1156,3348,531.33,Entertainment,6,0,US,mobile,650.8,3,0,0,0,0,1
1172,3523,12.88,Food Delivery,5,0,BR,desktop,41.1,1,0,0,1,0,0
1235,3548,176.18,Travel,2,6,US,tablet,99.4,2,0,1,1,0,0
