transaction_id,customer_id,amount,merchant_category,hour,day_of_week,country,device_type,card_age_days,velocity,is_international,is_weekend,is_night,is_new_card,is_fraud
5,2732,151.6,Utilities,15,4,US,desktop,560.8,1,0,0,0,0,0
31,2801,25.9,Grocery,9,2,US,desktop,75.3,2,0,0,0,0,0
80,3679,32.35,Retail,18,1,US,desktop,56.9,1,0,0,0,0,0
105,4187,55.26,Retail,17,2,US,desktop,33.4,1,0,0,0,0,0
176,2847,119.5,Grocery,9,1,US,desktop,60.6,1,0,0,0,0,0
251,1717,73.85,Retail,16,3,US,desktop,184.2,0,0,0,0,0,0
275,2672,766.07,Grocery,7,2,US,desktop,52.5,1,0,0,0,0,0
381,1021,141.21,Utilities,15,0,US,desktop,211.4,2,0,0,0,0,0
389,4567,119.47,Grocery,22,3,US,desktop,490.5,1,0,0,0,0,0
391,3986,220.21,Retail,21,4,US,desktop,460.7,2,0,0,0,0,0
426,1799,41.83,Grocery,22,4,US,desktop,31.7,1,0,0,0,0,0
616,3558,57.33,Retail,22,0,US,desktop,565.3,1,0,0,0,0,0
622,2911,223.79,Grocery,15,4,US,desktop,92.9,1,0,0,0,0,0
672,3457,167.34,Grocery,13,2,US,desktop,55.7,2,0,0,0,0,0
712,3090,118.69,Grocery,20,0,US,desktop,468.9,2,0,0,0,0,0
771,3607,45.43,Health,12,0,US,desktop,66.9,2,0,0,0,0,0
797,4873,51.45,Retail,11,4,US,desktop,57.1,1,0,0,0,0,0
843,4637,15.88,Retail,13,0,US,desktop,216.8,2,0,0,0,0,0
845,1021,65.24,Utilities,20,3,US,desktop,216.5,0,0,0,0,0,0
862,4711,144.96,Grocery,20,1,US,desktop,730.3,1,0,0,0,0,0
868,4351,32.84,Grocery,20,0,US,desktop,41.1,1,0,0,0,0,0
910,1366,235.84,Grocery,22,2,US,desktop,96.0,1,0,0,0,0,0
929,2673,101.13,Retail,20,0,US,desktop,472.5,0,0,0,0,0,0
949,4791,142.39,Retail,7,4,US,desktop,90.2,1,0,0,0,0,0
966,3353,542.82,Grocery,21,0,US,desktop,508.5,0,0,0,0,0,0
1009,3933,23.68,Retail,14,4,US,desktop,88.3,2,0,0,0,0,0
1016,4349,250.22,Utilities,10,2,US,desktop,184.8,0,0,0,0,0,0
1086,4356,24.53,Retail,12,0,US,desktop,35.0,0,0,0,0,0,0
1106,1723,14.05,Grocery,6,1,US,desktop,286.0,1,0,0,0,0,0
1113,1770,426.71,Utilities,14,3,US,desktop,110.2,1,0,0,0,0,0
1119,3892,16.28,Retail,15,4,US,desktop,318.1,0,0,0,0,0,0
1123,2075,81.19,Retail,15,4,US,desktop,226.3,2,0,0,0,0,1
1129,3224,69.45,Grocery,15,2,US,desktop,98.1,1,0,0,0,0,0
1159,2536,59.57,Grocery,11,0,US,desktop,134.4,1,0,0,0,0,0
1171,3515,653.67,Retail,10,2,US,desktop,214.9,1,0,0,0,0,0
1181,3431,96.91,Grocery,20,2,US,desktop,141.7,2,0,0,0,0,0
1243,4853,239.73,Grocery,22,3,US,desktop,117.7,2,0,0,0,0,0
